Addressline1,Addressline2,City,Contactfirstname,Contactlastname,Country,Customer,CustomerName,CustomerName (copy),Date,DealCategory,DealSize,Month,Month ,Order Quarter,Order Year,OrderDate,Phone,Postalcode,Productcode,Products,Quarter,Quarter (Sheet11),Sales (bin),SalesCategory,State,Status,Territory,Year,Year (Sheet11),CustomerGroup,Msrp,Orderlinenumber,Ordernumber,OrderQuantity,Sales,UnitPrice,ZeroIfNull-OrderQuantity
897 Long Airport Avenue,,NYC,Kwai,Yu,US,Land of Toys Inc.,Land of Toys Inc.,Land of Toys Inc.,15-11-2004,Small,Small,November,11,Q4,2004,15-11-2004,2125557818,10022,S12_1099,Classic Cars,4,Q4,$0.00M,Classic Cars,NY,Shipped,NA,2004,2004,1,194,5,10329,41,$0.00M,71.47,41
Geislweg 14,,Salzburg,Georg,Pipps,Austria,Salzburg Collectables,Salzburg Collectables,Salzburg Collectables,24-11-2004,Medium,Medium,November,11,Q4,2004,24-11-2004,6562-9555,5020,S12_1099,Classic Cars,4,Q4,$0.00M,Classic Cars,,Shipped,EMEA,2004,2004,1,194,2,10341,45,$0.00M,79.65,45
"Software Engineering Center, SEC Oy",,Espoo,Kalle,Suominen,Finland,Suominen Souveniers,Suominen Souveniers,Suominen Souveniers,06-01-2005,Small,Small,January,1,Q1,2005,06-01-2005,+358 9 8045 555,FIN-02271,S12_1099,Classic Cars,1,Q1,$0.00M,Classic Cars,,Shipped,EMEA,2005,2005,1,194,3,10363,33,$0.00M,85.39,33
"67, rue des Cinquante Otages",,Nantes,Janine,Labrune,France,La Rochelle Gifts,La Rochelle Gifts,La Rochelle Gifts,03-02-2005,Medium,Medium,February,2,Q1,2005,03-02-2005,40.67.8555,44000,S12_1099,Classic Cars,1,Q1,$0.00M,Classic Cars,,Shipped,EMEA,2005,2005,1,194,7,10375,45,$0.00M,76,45
?kergatan 24,,Boras,Maria,Larsson,Sweden,Scandinavian Gift Ideas,Scandinavian Gift Ideas,Scandinavian Gift Ideas,03-03-2005,Small,Small,March,3,Q1,2005,03-03-2005,0695-34 6555,S-844 67,S12_1099,Classic Cars,1,Q1,$0.00M,Classic Cars,,Shipped,EMEA,2005,2005,1,194,4,10389,26,$0.00M,99.04,26
Geislweg 14,,Salzburg,Georg,Pipps,Austria,Salzburg Collectables,Salzburg Collectables,Salzburg Collectables,17-05-2005,Small,Small,May,5,Q2,2005,17-05-2005,6562-9555,5020,S12_1099,Classic Cars,2,Q2,$0.00M,Classic Cars,,Shipped,EMEA,2005,2005,1,194,13,10419,12,$0.00M,100,12
Vinb'ltet 34,,Kobenhavn,Jytte,Petersen,Denmark,Danish Wholesale Imports,Danish Wholesale Imports,Danish Wholesale Imports,11-02-2003,Large,Large,February,2,Q1,2003,11-02-2003,31 12 3555,1734,S12_1108,Classic Cars,1,Q1,$0.01M,Classic Cars,,Shipped,EMEA,2003,2003,1,207,15,10105,41,$0.01M,100,41
"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,Eric,Natividad,Singapore,"Dragon Souveniers, Ltd.","Dragon Souveniers, Ltd.","Dragon Souveniers, Ltd.",16-04-2003,Medium,Medium,April,4,Q2,2003,16-04-2003,+65 221 7555,79903,S12_1108,Classic Cars,2,Q2,$0.01M,Classic Cars,,Shipped,Japan,2003,2003,1,207,9,10117,33,$0.01M,100,33
4092 Furth Circle,Suite 400,NYC,Jeff,Young,US,Muscle Machine Inc,Muscle Machine Inc,Muscle Machine Inc,03-06-2003,Large,Large,June,6,Q2,2003,03-06-2003,2125557413,10022,S12_1108,Classic Cars,2,Q2,$0.01M,Classic Cars,NY,Shipped,NA,2003,2003,1,207,2,10127,46,$0.01M,100,46
5677 Strong St.,,San Rafael,Valarie,Nelson,US,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,08-08-2003,Large,Large,August,8,Q3,2003,08-08-2003,4155551450,97562,S12_1108,Classic Cars,3,Q3,$0.01M,Classic Cars,CA,Shipped,NA,2003,2003,1,207,12,10142,33,$0.01M,100,33
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,28-09-2003,Medium,Medium,September,9,Q3,2003,28-09-2003,(91) 555 94 44,28034,S12_1108,Classic Cars,3,Q3,$0.00M,Classic Cars,,Shipped,EMEA,2003,2003,1,207,11,10153,20,$0.00M,100,20
"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,Eric,Natividad,Singapore,"Dragon Souveniers, Ltd.","Dragon Souveniers, Ltd.","Dragon Souveniers, Ltd.",22-10-2003,Large,Large,October,10,Q4,2003,22-10-2003,+65 221 7555,79903,S12_1108,Classic Cars,4,Q4,$0.01M,Classic Cars,,Shipped,Japan,2003,2003,1,207,3,10165,44,$0.01M,100,44
Strada Provinciale 124,,Reggio Emilia,Maurizio,Moroni,Italy,L'ordine Souveniers,L'ordine Souveniers,L'ordine Souveniers,06-11-2003,Large,Large,November,11,Q4,2003,06-11-2003,0522-556555,42100,S12_1108,Classic Cars,4,Q4,$0.01M,Classic Cars,,Shipped,EMEA,2003,2003,1,207,2,10176,33,$0.01M,100,33
4575 Hillside Dr.,,New Bedford,Wing C,Tam,US,Mini Creations Ltd.,Mini Creations Ltd.,Mini Creations Ltd.,14-11-2003,Medium,Medium,November,11,Q4,2003,14-11-2003,5085559555,50553,S12_1108,Classic Cars,4,Q4,$0.00M,Classic Cars,MA,Shipped,NA,2003,2003,1,207,13,10185,21,$0.00M,100,21
567 North Pendale Street,,New Haven,Leslie,Murphy,US,Super Scale Inc.,Super Scale Inc.,Super Scale Inc.,26-11-2003,Large,Large,November,11,Q4,2003,26-11-2003,2035559545,97823,S12_1108,Classic Cars,4,Q4,$0.01M,Classic Cars,CT,Shipped,NA,2003,2003,1,207,5,10196,47,$0.01M,100,47
"2, rue du Commerce",,Lyon,Mary,Saveley,France,"Saveley & Henriot, Co.","Saveley & Henriot, Co.","Saveley & Henriot, Co.",02-01-2004,Large,Large,January,1,Q1,2004,02-01-2004,78.32.5555,69004,S12_1108,Classic Cars,1,Q1,$0.01M,Classic Cars,,Shipped,EMEA,2004,2004,1,207,13,10208,46,$0.01M,100,46
25 Maiden Lane,Floor No. 4,Dublin,Dean,Cassidy,Ireland,"Clover Collections, Co.","Clover Collections, Co.","Clover Collections, Co.",12-02-2004,Large,Large,February,2,Q1,2004,12-02-2004,+353 1862 1555,2,S12_1108,Classic Cars,1,Q1,$0.01M,Classic Cars,,Shipped,EMEA,2004,2004,1,207,2,10220,32,$0.01M,100,32
"Merchants House, 27-30 Merchant's Quay",,Madrid,Jesus,Fernandez,Spain,CAF Imports,CAF Imports,CAF Imports,19-03-2004,Large,Large,March,3,Q1,2004,19-03-2004,+34 913 728 555,28023,S12_1108,Classic Cars,1,Q1,$0.01M,Classic Cars,,Shipped,EMEA,2004,2004,1,207,2,10231,42,$0.01M,100,42
"Software Engineering Center, SEC Oy",,Espoo,Kalle,Suominen,Finland,Suominen Souveniers,Suominen Souveniers,Suominen Souveniers,05-05-2004,Large,Large,May,5,Q2,2004,05-05-2004,+358 9 8045 555,FIN-02271,S12_1108,Classic Cars,2,Q2,$0.01M,Classic Cars,,Shipped,EMEA,2004,2004,1,207,2,10247,44,$0.01M,100,44
7586 Pompton St.,,Allentown,Kyung,Yu,US,Diecast Classics Inc.,Diecast Classics Inc.,Diecast Classics Inc.,20-07-2004,Medium,Medium,July,7,Q3,2004,20-07-2004,2155551555,70267,S12_1108,Classic Cars,3,Q3,$0.01M,Classic Cars,PA,Shipped,NA,2004,2004,1,207,2,10272,35,$0.01M,100,35
5677 Strong St.,,San Rafael,Valarie,Nelson,US,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,20-08-2004,Large,Large,August,8,Q3,2004,20-08-2004,4155551450,97562,S12_1108,Classic Cars,3,Q3,$0.01M,Classic Cars,CA,Shipped,NA,2004,2004,1,207,5,10282,41,$0.01M,100,41
Via Monte Bianco 34,,Torino,Paolo,Accorti,Italy,Amica Models & Co.,Amica Models & Co.,Amica Models & Co.,09-09-2004,Large,Large,September,9,Q3,2004,09-09-2004,011-4988555,10100,S12_1108,Classic Cars,3,Q3,$0.01M,Classic Cars,,Shipped,EMEA,2004,2004,1,207,8,10293,46,$0.01M,100,46
Fauntleroy Circus,,Manchester,Victoria,Ashworth,UK,"AV Stores, Co.","AV Stores, Co.","AV Stores, Co.",14-10-2004,Medium,Medium,October,10,Q4,2004,14-10-2004,(171) 555-1555,EC2 5NT,S12_1108,Classic Cars,4,Q4,$0.01M,Classic Cars,,Shipped,EMEA,2004,2004,1,207,13,10306,31,$0.01M,100,31
Smagsloget 45,,Aaarhus,Palle,Ibsen,Denmark,Heintze Collectables,Heintze Collectables,Heintze Collectables,22-10-2004,Large,Large,October,10,Q4,2004,22-10-2004,86 21 3555,8200,S12_1108,Classic Cars,4,Q4,$0.01M,Classic Cars,,Shipped,EMEA,2004,2004,1,207,5,10314,38,$0.01M,100,38
Erling Skakkes gate 78,,Stavern,Jonas,Bergulfsen,Norway,Baane Mini Imports,Baane Mini Imports,Baane Mini Imports,05-11-2004,Small,Small,November,11,Q4,2004,05-11-2004,07-98 9555,4110,S12_1108,Classic Cars,4,Q4,$0.00M,Classic Cars,,Shipped,EMEA,2004,2004,1,207,8,10325,42,$0.00M,64,42
"265, boulevard Charonne",,Paris,Marie,Bertrand,France,"La Corne D'abondance, Co.","La Corne D'abondance, Co.","La Corne D'abondance, Co.",20-11-2004,Small,Small,November,11,Q4,2004,20-11-2004,(1) 42.34.2555,75012,S12_1108,Classic Cars,4,Q4,$0.00M,Classic Cars,,Shipped,EMEA,2004,2004,1,207,10,10336,33,$0.00M,57.22,33
"C/ Araquil, 67",,Madrid,Mart¡n,Sommer,Spain,"Corrida Auto Replicas, Ltd","Corrida Auto Replicas, Ltd","Corrida Auto Replicas, Ltd",01-11-2004,Small,Small,November,11,Q4,2004,01-11-2004,(91) 555 22 82,28023,S12_1108,Classic Cars,4,Q4,$0.00M,Classic Cars,,Shipped,EMEA,2004,2004,1,207,8,10348,48,$0.00M,52.36,48
59 rue de l'Abbaye,,Reims,Paul,Henriot,France,Reims Collectables,Reims Collectables,Reims Collectables,15-12-2004,Medium,Medium,December,12,Q4,2004,15-12-2004,26.47.1555,51100,S12_1108,Classic Cars,4,Q4,$0.00M,Classic Cars,,Shipped,EMEA,2004,2004,1,207,8,10359,42,$0.00M,100,42
5677 Strong St.,,San Rafael,Valarie,Nelson,US,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,23-01-2005,Medium,Medium,January,1,Q1,2005,23-01-2005,4155551450,97562,S12_1108,Classic Cars,1,Q1,$0.00M,Classic Cars,CA,Shipped,NA,2005,2005,1,207,6,10371,32,$0.00M,100,32
5677 Strong St.,,San Rafael,Valarie,Nelson,US,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,17-02-2005,Medium,Medium,February,2,Q1,2005,17-02-2005,4155551450,97562,S12_1108,Classic Cars,1,Q1,$0.00M,Classic Cars,CA,Shipped,NA,2005,2005,1,207,10,10382,34,$0.00M,100,34
27 rue du Colonel Pierre Avia,,Paris,Daniel,Da Cunha,France,Lyon Souveniers,Lyon Souveniers,Lyon Souveniers,17-03-2005,Small,Small,March,3,Q1,2005,17-03-2005,+33 1 46 62 7555,75508,S12_1108,Classic Cars,1,Q1,$0.00M,Classic Cars,,Shipped,EMEA,2005,2005,1,207,1,10395,33,$0.00M,69.12,33
25593 South Bay Ln.,,Bridgewater,Julie,King,US,Gift Depot Inc.,Gift Depot Inc.,Gift Depot Inc.,05-05-2005,Large,Large,May,5,Q2,2005,05-05-2005,2035552570,97562,S12_1108,Classic Cars,2,Q2,$0.01M,Classic Cars,CT,Shipped,NA,2005,2005,1,207,2,10413,36,$0.01M,100,36
Erling Skakkes gate 78,,Stavern,Jonas,Bergulfsen,Norway,Baane Mini Imports,Baane Mini Imports,Baane Mini Imports,29-01-2003,Medium,Medium,January,1,Q1,2003,29-01-2003,07-98 9555,4110,S12_1666,Trucks&Buses,1,Q1,$0.00M,Trucks&Buses,,Shipped,EMEA,2003,2003,1,136,8,10103,27,$0.00M,100,27
5677 Strong St.,,San Rafael,Valarie,Nelson,US,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,26-03-2003,Medium,Medium,March,3,Q1,2003,26-03-2003,4155551450,97562,S12_1666,Trucks&Buses,1,Q1,$0.00M,Trucks&Buses,CA,Shipped,NA,2003,2003,1,136,2,10113,21,$0.00M,100,21
"C/ Araquil, 67",,Madrid,Mart¡n,Sommer,Spain,"Corrida Auto Replicas, Ltd","Corrida Auto Replicas, Ltd","Corrida Auto Replicas, Ltd",28-05-2003,Small,Small,May,5,Q2,2003,28-05-2003,(91) 555 22 82,28023,S12_1666,Trucks&Buses,2,Q2,$0.00M,Trucks&Buses,,Shipped,EMEA,2003,2003,1,136,8,10126,21,$0.00M,100,21
9408 Furth Circle,,Burlingame,Juri,Hirano,US,Technics Stores Inc.,Technics Stores Inc.,Technics Stores Inc.,24-07-2003,Medium,Medium,July,7,Q3,2003,24-07-2003,6505556809,94217,S12_1666,Trucks&Buses,3,Q3,$0.00M,Trucks&Buses,CA,Shipped,NA,2003,2003,1,136,8,10140,38,$0.00M,100,38
"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,Eric,Natividad,Singapore,"Dragon Souveniers, Ltd.","Dragon Souveniers, Ltd.","Dragon Souveniers, Ltd.",19-09-2003,Medium,Medium,September,9,Q3,2003,19-09-2003,+65 221 7555,79903,S12_1666,Trucks&Buses,3,Q3,$0.00M,Trucks&Buses,,Shipped,Japan,2003,2003,1,136,5,10150,30,$0.00M,100,30
Kirchgasse 6,,Graz,Roland,Mendel,Austria,Mini Auto Werke,Mini Auto Werke,Mini Auto Werke,21-10-2003,Medium,Medium,October,10,Q4,2003,21-10-2003,7675-3555,8010,S12_1666,Trucks&Buses,4,Q4,$0.01M,Trucks&Buses,,Resolved,EMEA,2003,2003,1,136,6,10164,49,$0.01M,100,49
31 Duncan St. West End,,South Brisbane,Tony,Calaghan,Australia,"Australian Gift Network, Co","Australian Gift Network, Co","Australian Gift Network, Co",06-11-2003,Medium,Medium,November,11,Q4,2003,06-11-2003,61-7-3844-6555,4101,S12_1666,Trucks&Buses,4,Q4,$0.01M,Trucks&Buses,Queensland,Shipped,APAC,2003,2003,1,136,1,10174,43,$0.01M,100,43
782 First Street,,Philadelphia,Francisca,Cervantes,US,"Classic Gift Ideas, Inc","Classic Gift Ideas, Inc","Classic Gift Ideas, Inc",13-11-2003,Medium,Medium,November,11,Q4,2003,13-11-2003,2155554695,71270,S12_1666,Trucks&Buses,4,Q4,$0.01M,Trucks&Buses,PA,Shipped,NA,2003,2003,1,136,5,10183,41,$0.01M,100,41
"2, rue du Commerce",,Lyon,Mary,Saveley,France,"Saveley & Henriot, Co.","Saveley & Henriot, Co.","Saveley & Henriot, Co.",25-11-2003,Medium,Medium,November,11,Q4,2003,25-11-2003,78.32.5555,69004,S12_1666,Trucks&Buses,4,Q4,$0.00M,Trucks&Buses,,Shipped,EMEA,2003,2003,1,136,8,10194,38,$0.00M,100,38
1900 Oak St.,,Vancouver,Yoshi,Tannamuri,Canada,Canadian Gift Exchange Network,Canadian Gift Exchange Network,Canadian Gift Exchange Network,05-12-2003,Medium,Medium,December,12,Q4,2003,05-12-2003,(604) 555-3392,V3F 2K1,S12_1666,Trucks&Buses,4,Q4,$0.00M,Trucks&Buses,BC,Shipped,NA,2003,2003,1,136,3,10206,28,$0.00M,100,28
"67, avenue de l'Europe",,Versailles,Daniel,Tonini,France,Auto Assoc. & Cie.,Auto Assoc. & Cie.,Auto Assoc. & Cie.,02-02-2004,Medium,Medium,February,2,Q1,2004,02-02-2004,30.59.8555,78000,S12_1666,Trucks&Buses,1,Q1,$0.01M,Trucks&Buses,,Shipped,EMEA,2004,2004,1,136,1,10216,43,$0.01M,100,43
5677 Strong St.,,San Rafael,Valarie,Nelson,US,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,11-03-2004,Medium,Medium,March,3,Q1,2004,11-03-2004,4155551450,97562,S12_1666,Trucks&Buses,1,Q1,$0.00M,Trucks&Buses,CA,Shipped,NA,2004,2004,1,136,13,10229,25,$0.00M,100,25
567 North Pendale Street,,New Haven,Leslie,Murphy,US,Super Scale Inc.,Super Scale Inc.,Super Scale Inc.,04-05-2004,Medium,Medium,May,5,Q2,2004,04-05-2004,2035559545,97823,S12_1666,Trucks&Buses,2,Q2,$0.01M,Trucks&Buses,CT,Shipped,NA,2004,2004,1,136,6,10245,38,$0.01M,100,38
2-2-8 Roppongi,,Minato-ku,Akiko,Shimamura,Japan,"Tokyo Collectables, Ltd","Tokyo Collectables, Ltd","Tokyo Collectables, Ltd",15-06-2004,Medium,Medium,June,6,Q2,2004,15-06-2004,+81 3 3584 0555,106-0032,S12_1666,Trucks&Buses,2,Q2,$0.01M,Trucks&Buses,Tokyo,Shipped,Japan,2004,2004,1,136,3,10258,41,$0.01M,100,41
"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,Adrian,Huxley,Australia,Souveniers And Things Co.,Souveniers And Things Co.,Souveniers And Things Co.,19-07-2004,Medium,Medium,July,7,Q3,2004,19-07-2004,+61 2 9495 8555,2067,S12_1666,Trucks&Buses,3,Q3,$0.00M,Trucks&Buses,NSW,Shipped,APAC,2004,2004,1,136,6,10270,28,$0.00M,100,28
7586 Pompton St.,,Allentown,Kyung,Yu,US,Diecast Classics Inc.,Diecast Classics Inc.,Diecast Classics Inc.,19-08-2004,Small,Small,August,8,Q3,2004,19-08-2004,2155551555,70267,S12_1666,Trucks&Buses,3,Q3,$0.00M,Trucks&Buses,PA,Shipped,NA,2004,2004,1,136,13,10281,25,$0.00M,100,25
?kergatan 24,,Boras,Maria,Larsson,Sweden,Scandinavian Gift Ideas,Scandinavian Gift Ideas,Scandinavian Gift Ideas,08-09-2004,Medium,Medium,September,9,Q3,2004,08-09-2004,0695-34 6555,S-844 67,S12_1666,Trucks&Buses,3,Q3,$0.01M,Trucks&Buses,,Shipped,EMEA,2004,2004,1,136,8,10291,41,$0.01M,100,41
"67, avenue de l'Europe",,Versailles,Daniel,Tonini,France,Auto Assoc. & Cie.,Auto Assoc. & Cie.,Auto Assoc. & Cie.,11-10-2004,Medium,Medium,October,10,Q4,2004,11-10-2004,30.59.8555,78000,S12_1666,Trucks&Buses,4,Q4,$0.01M,Trucks&Buses,,Shipped,EMEA,2004,2004,1,136,3,10304,39,$0.01M,100,39
1900 Oak St.,,Vancouver,Yoshi,Tannamuri,Canada,Canadian Gift Exchange Network,Canadian Gift Exchange Network,Canadian Gift Exchange Network,22-10-2004,Small,Small,October,10,Q4,2004,22-10-2004,(604) 555-3392,V3F 2K1,S12_1666,Trucks&Buses,4,Q4,$0.00M,Trucks&Buses,BC,Shipped,NA,2004,2004,1,136,11,10313,21,$0.00M,100,21
2304 Long Airport Avenue,,Nashua,Valarie,Young,US,Online Diecast Creations Co.,Online Diecast Creations Co.,Online Diecast Creations Co.,04-11-2004,Medium,Medium,November,11,Q4,2004,04-11-2004,6035558647,62005,S12_1666,Trucks&Buses,4,Q4,$0.00M,Trucks&Buses,NH,Shipped,NA,2004,2004,1,136,9,10322,27,$0.00M,100,27
5557 North Pendale Street,,San Francisco,Julie,Murphy,US,Mini Wheels Co.,Mini Wheels Co.,Mini Wheels Co.,18-11-2004,Medium,Medium,November,11,Q4,2004,18-11-2004,6505555787,,S12_1666,Trucks&Buses,4,Q4,$0.00M,Trucks&Buses,CA,Shipped,NA,2004,2004,1,136,6,10333,33,$0.00M,99.21,33
636 St Kilda Road,Level 3,Melbourne,Peter,Ferguson,Australia,"Australian Collectors, Co.","Australian Collectors, Co.","Australian Collectors, Co.",29-11-2004,Medium,Medium,November,11,Q4,2004,29-11-2004,03 9520 4555,3004,S12_1666,Trucks&Buses,4,Q4,$0.00M,Trucks&Buses,Victoria,Shipped,APAC,2004,2004,1,136,3,10347,29,$0.00M,100,29
5677 Strong St.,,San Rafael,Valarie,Nelson,US,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,Mini Gifts Distributors Ltd.,10-12-2004,Medium,Medium,December,12,Q4,2004,10-12-2004,4155551450,97562,S12_1666,Trucks&Buses,4,Q4,$0.01M,Trucks&Buses,CA,Shipped,NA,2004,2004,1,136,8,10357,49,$0.01M,100,49
201 Miller Street,Level 15,North Sydney,Anna,O'Hara,Australia,"Anna's Decorations, Ltd","Anna's Decorations, Ltd","Anna's Decorations, Ltd",20-01-2005,Large,Large,January,1,Q1,2005,20-01-2005,02 9936 8555,2060,S12_1666,Trucks&Buses,1,Q1,$0.01M,Trucks&Buses,NSW,Shipped,APAC,2005,2005,1,136,8,10370,49,$0.01M,100,49
7734 Strong St.,,San Francisco,Julie,Brown,US,Corporate Gift Ideas Co.,Corporate Gift Ideas Co.,Corporate Gift Ideas Co.,17-02-2005,Small,Small,February,2,Q1,2005,17-02-2005,6505551386,,S12_1666,Trucks&Buses,1,Q1,$0.00M,Trucks&Buses,CA,Shipped,NA,2005,2005,1,136,1,10381,20,$0.00M,100,20
201 Miller Street,Level 15,North Sydney,Anna,O'Hara,Australia,"Anna's Decorations, Ltd","Anna's Decorations, Ltd","Anna's Decorations, Ltd",09-03-2005,Small,Small,March,3,Q1,2005,09-03-2005,02 9936 8555,2060,S12_1666,Trucks&Buses,1,Q1,$0.00M,Trucks&Buses,NSW,Shipped,APAC,2005,2005,1,136,9,10391,39,$0.00M,63.2,39
43 rue St. Laurent,,Montreal,Jean,Fresnisre,Canada,Quebec Home Shopping Network,Quebec Home Shopping Network,Quebec Home Shopping Network,01-05-2005,Medium,Medium,May,5,Q2,2005,01-05-2005,(514) 555-8054,H1J 1C3,S12_1666,Trucks&Buses,2,Q2,$0.01M,Trucks&Buses,Quebec,Shipped,NA,2005,2005,1,136,6,10411,40,$0.01M,100,40
"C/ Moralzarzal, 86",,Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Euro Shopping Channel,Euro Shopping Channel,31-05-2005,Large,Large,May,5,Q2,2005,31-05-2005,(91) 555 94 44,28034,S12_1666,Trucks&Buses,2,Q2,$0.01M,Trucks&Buses,,In Process,EMEA,2005,2005,1,136,3,10424,49,$0.01M,100,49
897 Long Airport Avenue,,NYC,Kwai,Yu,US,Land of Toys Inc.,Land of Toys Inc.,Land of Toys Inc.,24-02-2003,Medium,Medium,February,2,Q1,2003,24-02-2003,2125557818,10022,S12_2823,Motorcycles,1,Q1,$0.00M,Motorcycles,NY,Shipped,NA,2003,2003,1,150,1,10107,21,$0.00M,100,21
59 rue de l'Abbaye,,Reims,Paul,Henriot,France,Reims Collectables,Reims Collectables,Reims Collectables,07-05-2003,Large,Large,May,5,Q2,2003,07-05-2003,26.47.1555,51100,S12_2823,Motorcycles,2,Q2,$0.01M,Motorcycles,,Shipped,EMEA,2003,2003,1,150,4,10121,50,$0.01M,100,50
27 rue du Colonel Pierre Avia,,Paris,Daniel,Da Cunha,France,Lyon Souveniers,Lyon Souveniers,Lyon Souveniers,01-07-2003,Small,Small,July,7,Q3,2003,01-07-2003,+33 1 46 62 7555,75508,S12_2823,Motorcycles,3,Q3,$0.00M,Motorcycles,,Shipped,EMEA,2003,2003,1,150,1,10134,20,$0.00M,100,20
78934 Hillside Dr.,,Pasadena,Julie,Young,US,Toys4GrownUps.com,Toys4GrownUps.com,Toys4GrownUps.com,25-08-2003,Large,Large,August,8,Q3,2003,25-08-2003,6265557265,90003,S12_2823,Motorcycles,3,Q3,$0.01M,Motorcycles,CA,Shipped,NA,2003,2003,1,150,5,10145,49,$0.01M,100,49
7734 Strong St.,,San Francisco,Julie,Brown,US,Corporate Gift Ideas Co.,Corporate Gift Ideas Co.,Corporate Gift Ideas Co.,10-10-2003,Medium,Medium,October,10,Q4,2003,10-10-2003,6505551386,,S12_2823,Motorcycles,4,Q4,$0.01M,Motorcycles,CA,Shipped,NA,2003,2003,1,150,13,10159,38,$0.01M,100,38
201 Miller Street,Level 15,North Sydney,Anna,O'Hara,Australia,"Anna's Decorations, Ltd","Anna's Decorations, Ltd","Anna's Decorations, Ltd",04-11-2003,Medium,Medium,November,11,Q4,2003,04-11-2003,02 9936 8555,2060,S12_2823,Motorcycles,4,Q4,$0.00M,Motorcycles,NSW,Shipped,APAC,2003,2003,1,150,13,10169,35,$0.00M,100,35
"184, chausse de Tournai",,Lille,Martine,Rance,France,Daedalus Designs Imports,Daedalus Designs Imports,Daedalus Designs Imports,11-11-2003,Medium,Medium,November,11,Q4,2003,11-11-2003,20.16.1555,59000,S12_2823,Motorcycles,4,Q4,$0.01M,Motorcycles,,Shipped,EMEA,2003,2003,1,150,8,10180,40,$0.01M,100,40
78934 Hillside Dr.,,Pasadena,Julie,Young,US,Toys4GrownUps.com,Toys4GrownUps.com,Toys4GrownUps.com,18-11-2003,Medium,Medium,November,11,Q4,2003,18-11-2003,6265557265,90003,S12_2823,Motorcycles,4,Q4,$0.00M,Motorcycles,CA,Shipped,NA,2003,2003,1,150,1,10189,28,$0.00M,100,28
5557 North Pendale Street,,San Francisco,Julie,Murphy,US,Mini Wheels Co.,Mini Wheels Co.,Mini Wheels Co.,01-12-2003,Medium,Medium,December,12,Q4,2003,01-12-2003,6505555787,,S12_2823,Motorcycles,4,Q4,$0.00M,Motorcycles,CA,Shipped,NA,2003,2003,1,150,1,10201,25,$0.00M,100,25
"25, rue Lauriston",,Paris,Dominique,Perrier,France,Auto Canal Petit,Auto Canal Petit,Auto Canal Petit,15-01-2004,Medium,Medium,January,1,Q1,2004,15-01-2004,(1) 47.55.6555,75016,S12_2823,Motorcycles,1,Q1,$0.00M,Motorcycles,,Shipped,EMEA,2004,2004,1,150,13,10211,36,$0.00M,100,36
"184, chausse de Tournai",,Lille,Martine,Rance,France,Daedalus Designs Imports,Daedalus Designs Imports,Daedalus Designs Imports,21-02-2004,Medium,Medium,February,2,Q1,2004,21-02-2004,20.16.1555,59000,S12_2823,Motorcycles,1,Q1,$0.01M,Motorcycles,,Shipped,EMEA,2004,2004,1,150,6,10224,43,$0.01M,100,43
2678 Kingston Rd.,Suite 101,NYC,Michael,Frick,US,Vitachrome Inc.,Vitachrome Inc.,Vitachrome Inc.,05-04-2004,Medium,Medium,April,4,Q2,2004,05-04-2004,2125551500,10022,S12_2823,Motorcycles,2,Q2,$0.00M,Motorcycles,NY,Shipped,NA,2004,2004,1,150,6,10237,32,$0.00M,100,32
7476 Moss Rd.,,Newark,William,Brown,US,Tekni Collectables Inc.,Tekni Collectables Inc.,Tekni Collectables Inc.,18-05-2004,Large,Large,May,5,Q2,2004,18-05-2004,2015559350,94019,S12_2823,Motorcycles,2,Q2,$0.01M,Motorcycles,NJ,Shipped,NA,2004,2004,1,150,1,10251,46,$0.01M,100,46
25593 South Bay Ln.,,Bridgewater,Julie,King,US,Gift Depot Inc.,Gift Depot Inc.,Gift Depot Inc.,28-06-2004,Medium,Medium,June,6,Q2,2004,28-06-2004,2035552570,97562,S12_2823,Motorcycles,2,Q2,$0.01M,Motorcycles,CT,Shipped,NA,2004,2004,1,150,1,10263,48,$0.01M,100,48
